2021-04-29 17:18:38,510 | INFO | ulauncher: main() | Ulauncher version 5.9.0
2021-04-29 17:18:38,510 | INFO | ulauncher: main() | Extension API version 2.0.0
2021-04-29 17:18:38,510 | INFO | ulauncher: main() | GTK+ 3.24.29
2021-04-29 17:18:38,510 | INFO | ulauncher: main() | Is Wayland: False
2021-04-29 17:18:38,510 | INFO | ulauncher: main() | Wayland compatibility: off
2021-04-29 17:18:38,523 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2021-04-29 17:18:38,525 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2021-04-29 17:18:38,525 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2021-04-29 17:18:38,525 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2021-04-29 17:18:38,526 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2021-04-29 17:18:38,527 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:18:38,527 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:18:38,529 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:18:38,529 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:18:38,538 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2021-04-29 17:18:38,540 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2021-04-29 17:18:38,540 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2021-04-29 17:18:38,550 | INFO | ulauncher.api.server.ExtensionDownloader: download_missing() | Downloading missing extension com.github.ulauncher.ulauncher-kill
2021-04-29 17:18:38,560 | ERROR | ulauncher.api.server.ExtensionDownloader: download_missing() | URLError: <urlopen error [Errno -2] Name or service not known>
2021-04-29 17:18:38,561 | INFO | ulauncher.api.server.ExtensionDownloader: download_missing() | Downloading missing extension com.github.ulauncher.ulauncher-emoji
2021-04-29 17:18:38,564 | ERROR | ulauncher.api.server.ExtensionDownloader: download_missing() | URLError: <urlopen error [Errno -2] Name or service not known>
2021-04-29 17:18:38,565 | INFO | ulauncher.api.server.ExtensionDownloader: download_missing() | Downloading missing extension com.github.rkarami.ulauncher-gitmoji
2021-04-29 17:18:38,568 | ERROR | ulauncher.api.server.ExtensionDownloader: download_missing() | URLError: <urlopen error [Errno -2] Name or service not known>
2021-04-29 17:18:38,574 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Super>space
2021-04-29 17:18:38,575 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 86 apps in cache
2021-04-29 17:18:38,576 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/franck/.local/share/applications/userapp-Thunderbird.desktop": constructor returned NULL
2021-04-29 17:18:38,576 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/franck/.local/share/applications/userapp-Pale Moon.desktop": constructor returned NULL
2021-04-29 17:18:38,587 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 88 apps in the system
2021-04-29 17:18:38,587 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.05 seconds
2021-04-29 17:18:38,593 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2021-04-29 17:18:41,822 | WARNING | ulauncher.utils.image_loader: load_image() | Could not load image /usr/share/icons/Humanity/devices/48/printer.svg. E: g-file-error-quark: Failed to open file “/usr/share/icons/Humanity/devices/48/printer.svg”: No such file or directory (4)
2021-04-29 17:18:41,873 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:18:41,908 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:18:42,085 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:18:42,172 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 17:18:42,851 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox Developer Edition (/usr/share/applications/firefox-developer-edition.desktop)
2021-04-29 17:18:42,865 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:19:31,184 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:19:31,184 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:19:31,184 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:19:31,184 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:19:31,199 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:21:57,708 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:21:57,708 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:21:57,708 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:21:57,708 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:21:57,719 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:21:58,417 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:21:58,820 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:21:58,960 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:21:59,080 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2021-04-29 17:21:59,536 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox Developer Edition (/usr/share/applications/firefox-developer-edition.desktop)
2021-04-29 17:21:59,551 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:22:41,692 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:22:41,692 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:22:41,692 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:22:41,692 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:22:41,701 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:22:41,916 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 17:22:42,182 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2021-04-29 17:22:42,250 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 17:22:42,371 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 17:22:42,540 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Code - OSS (/usr/share/applications/code-oss.desktop)
2021-04-29 17:22:42,551 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:23:28,527 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:23:28,527 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:23:28,528 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:23:28,528 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:23:28,540 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:23:59,405 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:23:59,405 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:23:59,405 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:23:59,405 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:23:59,412 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:11,854 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:11,854 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:11,855 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:11,855 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 17:24:11,866 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 17:24:26,222 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 17:24:26,222 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
